,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4,SAMPLE_5,MEAN,SD,MIN_SAMPLE_SPLIT
0,0.18555865788015002,0.21952119540708337,0.2509148113153943,0.24062249450397,0.17148390008493042,0.21362021183830562,0.034342945436857876,0.01
1,0.18555865788015002,0.21952119540708337,0.2509148113153943,0.24062249450397,0.17148390008493042,0.21362021183830562,0.034342945436857876,0.030204081632653063
2,0.18555865788015002,0.21952119540708337,0.2509148113153943,0.24062249450397,0.17148390008493042,0.21362021183830562,0.034342945436857876,0.05040816326530612
3,0.18555865788015002,0.21952119540708337,0.2509148113153943,0.24062249450397,0.17148390008493042,0.21362021183830562,0.034342945436857876,0.07061224489795918
4,0.18555865788015002,0.21952119540708337,0.2509148113153943,0.24062249450397,0.17148390008493042,0.21362021183830562,0.034342945436857876,0.09081632653061224
5,0.18555865788015002,0.21952119540708337,0.2509148113153943,0.24062249450397,0.17148390008493042,0.21362021183830562,0.034342945436857876,0.11102040816326529
6,0.18555865788015002,0.21952119540708337,0.2509148113153943,0.24062249450397,0.17148390008493042,0.21362021183830562,0.034342945436857876,0.13122448979591836
7,0.18555865788015002,0.21952119540708337,0.2509148113153943,0.24062249450397,0.17148390008493042,0.21362021183830562,0.034342945436857876,0.15142857142857144
8,0.18555865788015002,0.21952119540708337,0.2509148113153943,0.24062249450397,0.17148390008493042,0.21362021183830562,0.034342945436857876,0.1716326530612245
9,0.18555865788015002,0.21952119540708337,0.2509148113153943,0.24062249450397,0.17148390008493042,0.21362021183830562,0.034342945436857876,0.19183673469387755
10,0.18555865788015002,0.21952119540708337,0.2509148113153943,0.24062249450397,0.17148390008493042,0.21362021183830562,0.034342945436857876,0.2120408163265306
11,0.18555865788015002,0.2172131924274444,0.2509148113153943,0.24062249450397,0.17148390008493042,0.21315861124237784,0.034259210922028424,0.23224489795918368
12,0.1853452038014205,0.2172131924274444,0.249575641303875,0.23655512629820385,0.17002591707695092,0.21174301618157892,0.03359327319720401,0.2524489795918367
13,0.17959661941166938,0.2092300885846764,0.249575641303875,0.22984893342334511,0.17002591707695092,0.20765543996010338,0.033375186718875044,0.2726530612244898
14,0.17959661941166938,0.2092300885846764,0.249575641303875,0.22984893342334511,0.17002591707695092,0.20765543996010338,0.033375186718875044,0.29285714285714287
15,0.17959661941166938,0.2071008815984492,0.249575641303875,0.22984893342334511,0.17002591707695092,0.20722959856285791,0.033363654124985556,0.3130612244897959
16,0.17959661941166938,0.2071008815984492,0.249575641303875,0.22984893342334511,0.17002591707695092,0.20722959856285791,0.033363654124985556,0.333265306122449
17,0.17959661941166938,0.2071008815984492,0.249575641303875,0.22984893342334511,0.17002591707695092,0.20722959856285791,0.033363654124985556,0.35346938775510206
18,0.17959661941166938,0.2071008815984492,0.249575641303875,0.22984893342334511,0.17002591707695092,0.20722959856285791,0.033363654124985556,0.3736734693877551
19,0.17959661941166938,0.2071008815984492,0.249575641303875,0.22984893342334511,0.17002591707695092,0.20722959856285791,0.033363654124985556,0.39387755102040817
20,0.1792055265978597,0.2071008815984492,0.24112407755042853,0.22984893342334511,0.16190092316067684,0.20383606846615185,0.03332770534426309,0.4140816326530612
21,0.1792055265978597,0.2071008815984492,0.24112407755042853,0.22984893342334511,0.16190092316067684,0.20383606846615185,0.03332770534426309,0.4342857142857143
22,0.1792055265978597,0.2071008815984492,0.24112407755042853,0.22984893342334511,0.16190092316067684,0.20383606846615185,0.03332770534426309,0.45448979591836736
23,0.1792055265978597,0.2071008815984492,0.24112407755042853,0.22984893342334511,0.16190092316067684,0.20383606846615185,0.03332770534426309,0.4746938775510204
24,0.1792055265978597,0.2071008815984492,0.24112407755042853,0.22984893342334511,0.16190092316067684,0.20383606846615185,0.03332770534426309,0.49489795918367346
25,0.16473606819794628,0.2071008815984492,0.22865935586251362,0.22554975884368422,0.15600979628033151,0.19641117215658496,0.034054573326828236,0.5151020408163265
26,0.1461695350405553,0.1789130461107954,0.22272527786656526,0.2074821239541219,0.13752754995488892,0.17856350658538536,0.037148316853249576,0.5353061224489796
27,0.1461695350405553,0.1789130461107954,0.22272527786656526,0.2074821239541219,0.13752754995488892,0.17856350658538536,0.037148316853249576,0.5555102040816327
28,0.1461695350405553,0.1789130461107954,0.22272527786656526,0.2074821239541219,0.13752754995488892,0.17856350658538536,0.037148316853249576,0.5757142857142857
29,0.1461695350405553,0.1789130461107954,0.22272527786656526,0.2074821239541219,0.13752754995488892,0.17856350658538536,0.037148316853249576,0.5959183673469388
30,0.1461695350405553,0.1789130461107954,0.22272527786656526,0.2074821239541219,0.13752754995488892,0.17856350658538536,0.037148316853249576,0.6161224489795918
31,0.0,0.0,-2.220446049250313e-16,0.0,0.0,-4.4408920985006264e-17,9.930136612989094e-17,0.6363265306122449
32,0.0,0.0,-2.220446049250313e-16,0.0,0.0,-4.4408920985006264e-17,9.930136612989094e-17,0.656530612244898
33,0.0,0.0,-2.220446049250313e-16,0.0,0.0,-4.4408920985006264e-17,9.930136612989094e-17,0.676734693877551
34,0.0,0.0,-2.220446049250313e-16,0.0,0.0,-4.4408920985006264e-17,9.930136612989094e-17,0.6969387755102041
35,0.0,0.0,-2.220446049250313e-16,0.0,0.0,-4.4408920985006264e-17,9.930136612989094e-17,0.7171428571428571
36,0.0,0.0,-2.220446049250313e-16,0.0,0.0,-4.4408920985006264e-17,9.930136612989094e-17,0.7373469387755102
37,0.0,0.0,-2.220446049250313e-16,0.0,0.0,-4.4408920985006264e-17,9.930136612989094e-17,0.7575510204081632
